Ax,Ay,Az, Gx,Gy,Gz
0.49,0.06,10.50, -0.10,-0.00,-0.01
0.49,0.04,10.54, -0.10,-0.00,-0.01
0.49,0.08,10.54, -0.10,0.00,-0.01
0.50,0.06,10.51, -0.10,-0.00,-0.01
0.49,0.04,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.51, -0.10,-0.00,-0.01
0.50,0.05,10.54, -0.10,0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.50,0.08,10.50, -0.10,-0.00,-0.01
0.49,0.08,10.53, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.49,0.05,10.54, -0.10,-0.00,-0.01
0.48,0.08,10.53, -0.10,-0.00,-0.01
0.51,0.03,10.53, -0.10,0.00,-0.01
0.50,0.06,10.51, -0.10,-0.00,-0.01
0.49,0.06,10.57, -0.10,-0.00,-0.01
0.49,0.07,10.48, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,0.00,-0.01
0.50,0.06,10.53, -0.10,-0.00,-0.01
0.51,0.04,10.49, -0.10,-0.00,-0.01
0.49,0.07,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,0.00,-0.01
0.51,0.06,10.54, -0.10,0.00,-0.01
0.50,0.06,10.53, -0.10,0.00,-0.01
0.50,0.03,10.54, -0.10,-0.00,-0.01
0.50,0.07,10.53, -0.10,-0.00,-0.01
0.50,0.05,10.54, -0.10,0.00,-0.01
0.51,0.07,10.51, -0.10,-0.00,-0.01
0.50,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.56, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.48,0.06,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.52, -0.10,0.00,-0.01
0.49,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.06,10.51, -0.10,-0.00,-0.01
0.50,0.07,10.56, -0.10,-0.00,-0.01
0.49,0.06,10.48, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.49,0.05,10.53, -0.10,-0.00,-0.00
0.49,0.07,10.53, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.50,0.07,10.53, -0.10,0.00,-0.01
0.49,0.06,10.52, -0.10,-0.00,-0.01
0.48,0.06,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.51, -0.10,-0.00,-0.01
0.49,0.06,10.55, -0.10,-0.00,-0.01
0.50,0.07,10.53, -0.10,0.00,-0.01
0.52,0.08,10.52, -0.10,0.00,-0.01
0.51,0.06,10.54, -0.10,0.00,-0.01
0.51,0.06,10.55, -0.10,0.00,-0.01
0.51,0.06,10.55, -0.10,-0.00,-0.01
0.51,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.05,10.51, -0.10,-0.00,-0.01
0.51,0.08,10.53, -0.10,0.00,-0.01
0.50,0.05,10.54, -0.10,0.00,-0.01
0.51,0.07,10.56, -0.10,0.00,-0.01
0.51,0.06,10.53, -0.10,-0.00,-0.01
0.51,0.06,10.52, -0.10,0.00,-0.01
0.50,0.05,10.55, -0.10,0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.48,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.09,10.54, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,-0.00,-0.01
0.51,0.07,10.51, -0.10,0.00,-0.01
0.49,0.07,10.57, -0.10,0.00,-0.01
0.49,0.06,10.54, -0.10,0.00,-0.01
0.49,0.07,10.54, -0.10,0.00,-0.01
0.51,0.05,10.54, -0.10,0.00,-0.01
0.48,0.04,10.58, -0.10,-0.00,-0.01
0.51,0.05,10.52, -0.10,-0.00,-0.01
0.50,0.04,10.50, -0.10,-0.00,-0.01
0.49,0.06,10.55, -0.10,0.00,-0.01
0.48,0.06,10.58, -0.10,0.00,-0.01
0.50,0.06,10.52, -0.10,0.00,-0.01
0.51,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.07,10.54, -0.10,-0.00,-0.01
0.49,0.07,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.48, -0.10,-0.00,-0.01
0.50,0.05,10.49, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.51,0.07,10.54, -0.10,-0.00,-0.01
0.51,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.09,10.51, -0.10,0.00,-0.01
0.50,0.10,10.49, -0.10,0.00,-0.01
0.49,0.07,10.50, -0.10,0.00,-0.01
0.50,0.04,10.53, -0.10,-0.00,-0.01
0.49,0.06,10.56, -0.10,0.00,-0.01
0.51,0.04,10.62, -0.10,-0.00,-0.01
0.49,0.09,10.44, -0.10,-0.01,-0.01
0.51,0.06,10.47, -0.10,-0.00,-0.01
0.48,0.06,10.52, -0.10,0.00,-0.01
0.50,0.06,10.53, -0.10,0.00,-0.01
0.51,0.03,10.50, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,0.00,-0.01
0.48,0.07,10.61, -0.10,-0.00,-0.01
0.49,0.03,10.59, -0.10,-0.00,-0.01
0.50,0.07,10.48, -0.10,-0.00,-0.01
0.50,0.07,10.52, -0.10,0.00,-0.01
0.50,0.05,10.55, -0.10,0.00,-0.01
0.49,0.04,10.53, -0.10,0.00,-0.01
0.49,0.08,10.56, -0.10,0.00,-0.01
0.50,0.07,10.57, -0.10,-0.00,-0.01
0.51,0.06,10.49, -0.10,-0.00,-0.01
0.50,0.06,10.50, -0.10,-0.00,-0.01
0.50,0.05,10.56, -0.10,0.00,-0.01
0.51,0.05,10.55, -0.10,-0.00,-0.01
0.50,0.08,10.51, -0.10,-0.00,-0.01
0.50,0.08,10.52, -0.10,0.00,-0.01
0.50,0.05,10.54, -0.10,0.00,-0.01
0.51,0.04,10.56, -0.10,-0.00,-0.01
0.49,0.06,10.52, -0.10,-0.00,-0.01
0.51,0.05,10.51, -0.10,0.00,-0.01
0.51,0.05,10.55, -0.10,0.00,-0.01
0.51,0.05,10.58, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.06,10.54, -0.10,0.00,-0.01
0.51,0.06,10.50, -0.10,-0.00,-0.01
0.52,0.05,10.51, -0.10,-0.00,-0.01
0.50,0.05,10.48, -0.10,0.00,-0.01
0.49,0.08,10.56, -0.10,0.00,-0.01
0.49,0.06,10.52, -0.10,-0.00,-0.01
0.48,0.07,10.55, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.50,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.09,10.55, -0.10,-0.00,-0.01
0.51,0.06,10.48, -0.10,-0.00,-0.01
0.49,0.04,10.50, -0.10,0.00,-0.01
0.49,0.08,10.57, -0.10,-0.00,-0.01
0.49,0.06,10.52, -0.10,-0.00,-0.01
0.51,0.05,10.51, -0.10,-0.00,-0.01
0.51,0.08,10.51, -0.10,-0.00,-0.01
0.50,0.07,10.53, -0.10,0.00,-0.01
0.50,0.05,10.52, -0.10,0.00,-0.01
0.51,0.07,10.55, -0.10,-0.00,-0.01
0.50,0.05,10.55, -0.10,-0.00,-0.01
0.50,0.05,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.53, -0.10,-0.00,-0.01
0.48,0.05,10.52, -0.10,-0.00,-0.01
0.48,0.05,10.53, -0.10,-0.00,-0.01
0.50,0.05,10.54, -0.10,0.00,-0.01
0.50,0.04,10.55, -0.10,-0.00,-0.01
0.50,0.06,10.55, -0.10,-0.00,-0.01
0.48,0.05,10.51, -0.10,-0.00,-0.01
0.50,0.05,10.50, -0.10,-0.00,-0.01
0.48,0.06,10.51, -0.10,-0.00,-0.01
0.51,0.07,10.54, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,0.00,-0.01
0.51,0.07,10.53, -0.10,-0.00,-0.01
0.51,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.48,0.06,10.49, -0.10,-0.00,-0.01
0.49,0.04,10.49, -0.10,-0.00,-0.01
0.51,0.07,10.50, -0.10,-0.00,-0.01
0.49,0.07,10.56, -0.10,0.00,-0.01
0.48,0.06,10.58, -0.10,-0.00,-0.01
0.51,0.04,10.51, -0.10,-0.00,-0.01
0.50,0.08,10.51, -0.10,0.00,-0.01
0.49,0.08,10.56, -0.10,0.00,-0.01
0.50,0.06,10.55, -0.10,-0.00,-0.01
0.49,0.08,10.53, -0.10,-0.00,-0.01
0.51,0.08,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.54, -0.10,0.00,-0.01
0.49,0.06,10.55, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.06,10.56, -0.10,-0.00,-0.01
0.47,0.05,10.51, -0.10,-0.00,-0.01
0.51,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.52, -0.10,-0.00,-0.01
0.51,0.05,10.53, -0.10,-0.00,-0.01
0.48,0.05,10.51, -0.10,-0.00,-0.01
0.49,0.07,10.50, -0.10,-0.00,-0.01
0.48,0.05,10.51, -0.10,-0.00,-0.01
0.49,0.06,10.56, -0.10,-0.00,-0.01
0.47,0.07,10.53, -0.10,-0.00,-0.01
0.49,0.07,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.52, -0.10,-0.00,-0.01
0.50,0.06,10.47, -0.10,0.00,-0.01
0.51,0.05,10.51, -0.10,0.00,-0.01
0.49,0.04,10.60, -0.10,-0.00,-0.01
0.51,0.05,10.51, -0.10,-0.00,-0.01
0.50,0.04,10.58, -0.10,-0.00,-0.01
0.49,0.08,10.51, -0.10,-0.00,-0.01
0.51,0.05,10.44, -0.10,-0.00,-0.01
0.50,0.07,10.51, -0.10,0.00,-0.01
0.50,0.07,10.57, -0.10,-0.00,-0.01
0.51,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.07,10.50, -0.10,-0.00,-0.01
0.50,0.05,10.55, -0.10,-0.00,-0.01
0.46,0.05,10.53, -0.10,-0.00,-0.01
0.48,0.09,10.51, -0.10,-0.00,-0.01
0.51,0.07,10.50, -0.10,0.00,-0.01
0.51,0.06,10.52, -0.10,0.00,-0.01
0.50,0.07,10.55, -0.10,-0.00,-0.01
0.48,0.06,10.50, -0.10,-0.00,-0.01
0.48,0.06,10.52, -0.10,0.00,-0.01
0.50,0.07,10.53, -0.10,-0.00,-0.01
0.51,0.06,10.51, -0.10,0.00,-0.01
0.48,0.05,10.52, -0.10,-0.00,-0.01
0.51,0.07,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.51, -0.10,-0.00,-0.01
0.50,0.07,10.53, -0.10,0.00,-0.01
0.50,0.06,10.52, -0.10,-0.00,-0.01
0.49,0.04,10.50, -0.10,-0.00,-0.01
0.51,0.05,10.53, -0.10,-0.00,-0.01
0.51,0.05,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.49, -0.10,-0.00,-0.01
0.50,0.05,10.53, -0.10,-0.00,-0.01
0.48,0.05,10.57, -0.10,-0.00,-0.01
0.48,0.07,10.52, -0.10,-0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.56, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.06,10.51, -0.10,-0.00,-0.01
0.48,0.06,10.54, -0.10,-0.00,-0.01
0.48,0.07,10.51, -0.10,-0.00,-0.01
0.50,0.05,10.50, -0.10,-0.00,-0.01
0.49,0.04,10.58, -0.10,-0.00,-0.01
0.51,0.09,10.53, -0.10,-0.00,-0.01
0.51,0.03,10.50, -0.10,-0.00,-0.01
0.51,0.06,10.52, -0.10,-0.00,-0.01
0.46,0.07,10.53, -0.10,0.00,-0.01
0.50,0.05,10.52, -0.10,-0.00,-0.01
0.50,0.03,10.56, -0.10,-0.00,-0.01
0.49,0.07,10.54, -0.10,-0.00,-0.01
0.52,0.06,10.48, -0.10,-0.00,-0.01
0.52,0.05,10.56, -0.10,0.00,-0.01
0.47,0.05,10.60, -0.10,-0.00,-0.01
0.50,0.05,10.51, -0.10,-0.00,-0.01
0.49,0.06,10.47, -0.10,0.00,-0.01
0.49,0.07,10.54, -0.10,0.00,-0.01
0.49,0.06,10.51, -0.10,0.00,-0.01
0.48,0.07,10.48, -0.10,0.00,-0.01
0.49,0.07,10.54, -0.10,0.00,-0.01
0.51,0.06,10.56, -0.10,-0.00,-0.01
0.50,0.06,10.47, -0.10,-0.00,-0.01
0.52,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.53, -0.10,0.00,-0.01
0.49,0.08,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.55, -0.10,-0.00,-0.01
0.51,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.05,10.53, -0.10,-0.00,-0.01
0.50,0.03,10.56, -0.10,-0.00,-0.01
0.49,0.06,10.51, -0.10,-0.00,-0.01
0.50,0.06,10.51, -0.10,-0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.52,0.06,10.54, -0.10,0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.51,0.07,10.50, -0.10,-0.00,-0.01
0.48,0.06,10.55, -0.10,0.00,-0.01
0.49,0.06,10.51, -0.10,-0.00,-0.01
0.49,0.04,10.51, -0.10,0.00,-0.01
0.49,0.07,10.56, -0.10,0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.51,0.04,10.54, -0.10,0.00,-0.01
0.49,0.05,10.53, -0.10,-0.00,-0.01
0.49,0.07,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.52, -0.10,0.00,-0.01
0.49,0.05,10.53, -0.10,-0.00,-0.01
0.50,0.03,10.51, -0.10,0.00,-0.01
0.50,0.04,10.54, -0.10,0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.06,10.51, -0.10,-0.00,-0.01
0.49,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.07,10.51, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.50,0.07,10.52, -0.10,-0.00,-0.01
0.50,0.08,10.55, -0.10,-0.00,-0.01
0.49,0.07,10.55, -0.10,-0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.55, -0.10,0.00,-0.01
0.51,0.07,10.56, -0.10,0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.07,10.49, -0.10,-0.00,-0.01
0.51,0.07,10.50, -0.10,-0.00,-0.01
0.51,0.05,10.53, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.50,0.05,10.53, -0.10,-0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.48,0.05,10.53, -0.10,-0.00,-0.01
0.50,0.04,10.55, -0.10,-0.00,-0.01
0.50,0.04,10.55, -0.10,-0.00,-0.01
0.51,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,0.00,-0.01
0.49,0.05,10.53, -0.10,-0.00,-0.01
0.51,0.07,10.52, -0.10,-0.00,-0.01
0.51,0.06,10.49, -0.10,-0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.07,10.55, -0.10,-0.00,-0.01
0.48,0.05,10.51, -0.10,-0.00,-0.01
0.50,0.07,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.50, -0.10,-0.00,-0.01
0.48,0.05,10.52, -0.10,0.00,-0.01
0.50,0.06,10.55, -0.10,0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.53, -0.10,-0.00,-0.01
0.49,0.04,10.63, -0.10,-0.00,-0.01
0.51,0.06,10.46, -0.10,-0.01,-0.01
0.51,0.05,10.43, -0.10,-0.00,-0.01
0.50,0.06,10.56, -0.10,0.00,-0.01
0.48,0.07,10.58, -0.10,-0.00,-0.01
0.51,0.05,10.51, -0.10,-0.00,-0.00
0.49,0.07,10.54, -0.10,-0.00,-0.01
0.50,0.07,10.53, -0.10,-0.00,-0.01
0.48,0.06,10.49, -0.10,-0.00,-0.01
0.48,0.06,10.49, -0.10,0.00,-0.01
0.49,0.05,10.58, -0.10,0.00,-0.01
0.49,0.06,10.58, -0.10,-0.00,-0.01
0.50,0.08,10.47, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,0.00,-0.01
0.51,0.05,10.57, -0.10,0.00,-0.01
0.51,0.06,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.51, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,0.00,-0.01
0.49,0.05,10.55, -0.10,-0.00,-0.01
0.50,0.03,10.53, -0.10,-0.00,-0.01
0.48,0.05,10.49, -0.10,-0.00,-0.01
0.51,0.07,10.54, -0.10,0.00,-0.01
0.49,0.08,10.51, -0.10,-0.00,-0.01
0.50,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.05,10.54, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.53, -0.10,-0.00,-0.01
0.50,0.04,10.53, -0.10,-0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.50,0.08,10.50, -0.10,-0.00,-0.01
0.50,0.07,10.54, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,0.00,-0.01
0.49,0.07,10.52, -0.10,-0.00,-0.01
0.50,0.04,10.56, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.04,10.50, -0.10,-0.00,-0.01
0.50,0.03,10.54, -0.10,0.00,-0.01
0.48,0.05,10.54, -0.10,0.00,-0.01
0.48,0.04,10.55, -0.10,-0.00,-0.01
0.50,0.06,10.50, -0.10,-0.00,-0.01
0.50,0.06,10.49, -0.10,0.00,-0.01
0.50,0.07,10.51, -0.10,0.00,-0.01
0.50,0.06,10.55, -0.10,0.00,-0.01
0.51,0.06,10.52, -0.10,0.00,-0.01
0.50,0.08,10.52, -0.10,-0.00,-0.01
0.51,0.07,10.56, -0.10,-0.00,-0.01
0.49,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.47, -0.10,-0.00,-0.01
0.50,0.04,10.50, -0.10,0.00,-0.01
0.50,0.03,10.57, -0.10,0.00,-0.01
0.50,0.05,10.50, -0.10,0.00,-0.01
0.49,0.04,10.54, -0.10,0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.51,0.06,10.52, -0.10,-0.00,-0.01
0.47,0.05,10.52, -0.10,0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.50,0.04,10.52, -0.10,-0.00,-0.01
0.50,0.06,10.51, -0.10,0.00,-0.01
0.50,0.04,10.50, -0.10,-0.00,-0.01
0.48,0.04,10.54, -0.10,-0.00,-0.01
0.48,0.06,10.49, -0.10,-0.00,-0.01
0.50,0.06,10.49, -0.10,0.00,-0.01
0.51,0.06,10.56, -0.10,0.00,-0.01
0.50,0.07,10.55, -0.10,0.00,-0.01
0.49,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.06,10.52, -0.10,0.00,-0.01
0.49,0.07,10.52, -0.10,0.00,-0.01
0.49,0.07,10.53, -0.10,-0.00,-0.01
0.49,0.06,10.57, -0.10,-0.00,-0.01
0.49,0.05,10.53, -0.10,-0.00,-0.01
0.52,0.07,10.50, -0.10,-0.00,-0.01
0.50,0.07,10.51, -0.10,0.00,-0.01
0.51,0.07,10.51, -0.10,0.00,-0.01
0.51,0.05,10.53, -0.10,0.00,-0.01
0.49,0.05,10.54, -0.10,-0.00,-0.01
0.51,0.05,10.51, -0.10,-0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.07,10.48, -0.10,-0.00,-0.01
0.51,0.06,10.49, -0.10,-0.00,-0.01
0.51,0.06,10.54, -0.10,-0.00,-0.01
0.52,0.07,10.52, -0.10,-0.00,-0.01
0.47,0.06,10.55, -0.10,0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.50,0.06,10.50, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,-0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.49,0.05,10.51, -0.10,-0.00,-0.01
0.49,0.04,10.52, -0.10,0.00,-0.01
0.51,0.06,10.54, -0.10,0.00,-0.01
0.49,0.05,10.52, -0.10,-0.00,-0.01
0.51,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.51,0.08,10.52, -0.10,-0.00,-0.01
0.50,0.05,10.51, -0.10,-0.00,-0.01
0.50,0.08,10.52, -0.10,-0.00,-0.01
0.50,0.07,10.51, -0.10,0.00,-0.01
0.50,0.04,10.55, -0.10,-0.00,-0.01
0.51,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.06,10.48, -0.10,-0.00,-0.01
0.50,0.06,10.49, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,0.00,-0.01
0.49,0.06,10.51, -0.10,0.00,-0.01
0.50,0.04,10.54, -0.10,0.00,-0.01
0.49,0.07,10.53, -0.10,0.00,-0.01
0.47,0.04,10.57, -0.10,-0.00,-0.01
0.51,0.05,10.60, -0.10,-0.00,-0.01
0.51,0.09,10.44, -0.10,-0.00,-0.01
0.51,0.05,10.48, -0.10,0.00,-0.01
0.49,0.07,10.58, -0.10,-0.00,-0.01
0.48,0.07,10.55, -0.10,-0.00,-0.01
0.49,0.04,10.49, -0.10,-0.00,-0.01
0.48,0.06,10.53, -0.10,-0.00,-0.01
0.49,0.07,10.52, -0.10,-0.00,-0.01
0.51,0.06,10.49, -0.10,-0.00,-0.01
0.51,0.05,10.48, -0.10,0.00,-0.01
0.51,0.07,10.47, -0.10,0.00,-0.01
0.51,0.03,10.54, -0.10,0.00,-0.01
0.49,0.06,10.56, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,-0.00,-0.01
0.49,0.05,10.53, -0.10,0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.05,10.50, -0.10,-0.00,-0.01
0.50,0.06,10.48, -0.10,-0.00,-0.01
0.48,0.07,10.51, -0.10,0.00,-0.01
0.50,0.05,10.53, -0.10,-0.00,-0.01
0.51,0.04,10.55, -0.10,-0.00,-0.01
0.51,0.06,10.56, -0.10,-0.00,-0.01
0.50,0.06,10.55, -0.10,-0.00,-0.01
0.50,0.06,10.53, -0.10,-0.00,-0.01
0.51,0.06,10.52, -0.10,0.00,-0.01
0.49,0.05,10.53, -0.10,0.00,-0.01
0.49,0.06,10.55, -0.10,-0.00,-0.01
0.50,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.05,10.54, -0.10,-0.00,-0.01
0.49,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.05,10.52, -0.10,-0.00,-0.01
0.50,0.06,10.50, -0.10,0.00,-0.01
0.50,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.05,10.54, -0.10,-0.00,-0.01
0.51,0.05,10.51, -0.10,-0.00,-0.01
0.50,0.05,10.53, -0.10,-0.00,-0.01
0.50,0.07,10.47, -0.10,0.00,-0.01
0.49,0.07,10.51, -0.10,0.00,-0.01
0.48,0.04,10.56, -0.10,-0.00,-0.01
0.50,0.04,10.55, -0.10,-0.00,-0.01
0.51,0.05,10.50, -0.10,-0.00,-0.01
0.51,0.07,10.54, -0.10,-0.00,-0.01
0.52,0.05,10.52, -0.10,-0.00,-0.01
0.50,0.06,10.49, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,0.00,-0.01
0.50,0.06,10.56, -0.10,0.00,-0.01
0.50,0.04,10.55, -0.10,0.00,-0.01
0.51,0.06,10.53, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,0.00,-0.01
0.49,0.05,10.54, -0.10,0.00,-0.01
0.48,0.07,10.55, -0.10,-0.00,-0.01
0.48,0.07,10.52, -0.10,-0.00,-0.01
0.49,0.06,10.51, -0.10,0.00,-0.01
0.50,0.06,10.53, -0.10,-0.00,-0.01
0.49,0.05,10.53, -0.10,-0.00,-0.01
0.50,0.04,10.55, -0.10,0.00,-0.01
0.49,0.06,10.52, -0.10,0.00,-0.01
0.48,0.06,10.53, -0.10,-0.00,-0.01
0.51,0.07,10.51, -0.10,-0.00,-0.01
0.50,0.06,10.52, -0.10,-0.00,-0.01
0.50,0.04,10.55, -0.10,-0.00,-0.01
0.50,0.07,10.53, -0.10,-0.00,-0.01
0.50,0.08,10.51, -0.10,0.00,-0.01
0.50,0.05,10.52, -0.10,0.00,-0.01
0.49,0.04,10.54, -0.10,0.00,-0.01
0.50,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.06,10.55, -0.10,-0.00,-0.01
0.49,0.06,10.50, -0.10,-0.00,-0.01
0.50,0.05,10.55, -0.10,-0.00,-0.01
0.49,0.06,10.54, -0.10,-0.00,-0.01
0.49,0.06,10.47, -0.10,-0.00,-0.01
